filename,percentage,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210415-214000.netcdf,0.07179909297052155,118.125,214.0,658.0625,91.0,628.0,281.0625,277.5,1145.0,14.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210415-215000.netcdf,0.07084671201814059,108.6875,251.0,683.0,151.0,492.0,267.0625,268.4375,1020.0,20.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210415-220000.netcdf,0.07062675736961452,105.9375,262.0,639.0,183.0,373.0,215.1875,231.4375,720.0,21.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-190000.netcdf,0.07917392290249434,197.6875,94.0,345.9375,189.0625,339.0,91.75,488.0,465.8125,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-191000.netcdf,0.08111269841269841,156.9375,87.125,372.5,222.0,398.0,75.0,400.0,657.75,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-192000.netcdf,0.08256462585034013,125.4375,115.125,372.0,240.0,420.0,107.0,245.0,698.375,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-193000.netcdf,0.08423605442176871,134.0,120.125,332.375,217.0,416.0,124.0,144.5625,674.0,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-194000.netcdf,0.0854530612244898,182.9375,114.0,268.25,177.0,363.5,131.25,97.0625,659.0,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-195000.netcdf,0.08694240362811792,206.9375,104.0,235.0,143.5625,279.3125,165.0,66.0,660.0,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-200000.netcdf,0.08712222222222223,216.8125,121.0,346.0,144.25,268.0,194.8125,67.0,601.375,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-201000.netcdf,0.08690226757369615,209.0,132.0,427.0,144.0625,271.0,203.0625,67.0,466.5625,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210416-202000.netcdf,0.08581541950113379,188.0,131.0,457.0,181.0,267.0,199.9375,68.4375,475.0625,0.0
