Best val_aupr: 0.70556; at epoch 33
Best val_brier_score: 0.02432; at epoch 35
Best val_csi05: 0.30428; at epoch 32
Best val_csi10: 0.36392; at epoch 35
Best val_csi15: 0.40275; at epoch 35
Best val_csi20: 0.42972; at epoch 36
Best val_csi25: 0.44779; at epoch 32
Best val_csi30: 0.45844; at epoch 33
Best val_csi35: 0.46276; at epoch 33
Best val_csi40: 0.46212; at epoch 22
Best val_csi45: 0.45639; at epoch 21
Best val_csi50: 0.44727; at epoch 4
