Best val_aupr: 0.65697; at epoch 33
Best val_brier_score: 0.02628; at epoch 37
Best val_csi05: 0.27665; at epoch 37
Best val_csi10: 0.33592; at epoch 37
Best val_csi15: 0.37529; at epoch 37
Best val_csi20: 0.40206; at epoch 37
Best val_csi25: 0.41868; at epoch 39
Best val_csi30: 0.42723; at epoch 37
Best val_csi35: 0.42838; at epoch 26
Best val_csi40: 0.42314; at epoch 26
Best val_csi45: 0.41162; at epoch 26
Best val_csi50: 0.39407; at epoch 26
