Best val_aupr: 0.68099; at epoch 17
Best val_brier_score: 0.02135; at epoch 17
Best val_csi05: 0.33907; at epoch 5
Best val_csi10: 0.38804; at epoch 5
Best val_csi15: 0.41147; at epoch 10
Best val_csi20: 0.41736; at epoch 10
Best val_csi25: 0.42146; at epoch 14
Best val_csi30: 0.42673; at epoch 18
Best val_csi35: 0.42808; at epoch 17
Best val_csi40: 0.42387; at epoch 20
Best val_csi45: 0.41542; at epoch 20
Best val_csi50: 0.40196; at epoch 20
