Best val_aupr: 0.7623; at epoch 11
Best val_brier_score: 0.03107; at epoch 8
Best val_csi05: 0.2896; at epoch 6
Best val_csi10: 0.34605; at epoch 6
Best val_csi15: 0.38407; at epoch 6
Best val_csi20: 0.41228; at epoch 6
Best val_csi25: 0.43238; at epoch 6
Best val_csi30: 0.44645; at epoch 6
Best val_csi35: 0.45452; at epoch 6
Best val_csi40: 0.45756; at epoch 10
Best val_csi45: 0.45944; at epoch 11
Best val_csi50: 0.45775; at epoch 11
