Best val_aupr: 0.69666; at epoch 34
Best val_brier_score: 0.02465; at epoch 38
Best val_csi05: 0.30333; at epoch 16
Best val_csi10: 0.36239; at epoch 16
Best val_csi15: 0.39983; at epoch 16
Best val_csi20: 0.42629; at epoch 16
Best val_csi25: 0.44362; at epoch 39
Best val_csi30: 0.45375; at epoch 41
Best val_csi35: 0.45726; at epoch 36
Best val_csi40: 0.45493; at epoch 27
Best val_csi45: 0.44896; at epoch 9
Best val_csi50: 0.43987; at epoch 6
