Best val_aupr: 0.66624; at epoch 21
Best val_brier_score: 0.02099; at epoch 17
Best val_csi05: 0.24131; at epoch 11
Best val_csi10: 0.2949; at epoch 15
Best val_csi15: 0.32737; at epoch 15
Best val_csi20: 0.34689; at epoch 12
Best val_csi25: 0.35806; at epoch 17
Best val_csi30: 0.3623; at epoch 17
Best val_csi35: 0.36235; at epoch 18
Best val_csi40: 0.35746; at epoch 19
Best val_csi45: 0.34845; at epoch 19
Best val_csi50: 0.33557; at epoch 19
