Best val_aupr: 0.69464; at epoch 86
Best val_brier_score: 0.02472; at epoch 90
Best val_csi05: 0.2983; at epoch 90
Best val_csi10: 0.35839; at epoch 91
Best val_csi15: 0.39763; at epoch 89
Best val_csi20: 0.42486; at epoch 89
Best val_csi25: 0.44219; at epoch 90
Best val_csi30: 0.45208; at epoch 88
Best val_csi35: 0.45529; at epoch 87
Best val_csi40: 0.45243; at epoch 81
Best val_csi45: 0.4439; at epoch 81
Best val_csi50: 0.43056; at epoch 72
