Best val_aupr: 0.67056; at epoch 22
Best val_brier_score: 0.02183; at epoch 20
Best val_csi05: 0.27595; at epoch 6
Best val_csi10: 0.32225; at epoch 7
Best val_csi15: 0.35391; at epoch 7
Best val_csi20: 0.37375; at epoch 20
Best val_csi25: 0.38906; at epoch 20
Best val_csi30: 0.39765; at epoch 20
Best val_csi35: 0.40125; at epoch 22
Best val_csi40: 0.39901; at epoch 22
Best val_csi45: 0.39409; at epoch 16
Best val_csi50: 0.38435; at epoch 16
